"","Group.1","Group.2","subject","variable"
"104","SITTING",18,18,NA
"105","STANDING",18,18,NA
"106","WALKING",18,18,NA
"107","WALKING_DOWNSTAIRS",18,18,NA
"108","WALKING_UPSTAIRS",18,18,NA
"109","LAYING",19,19,NA
"110","SITTING",19,19,NA
"111","STANDING",19,19,NA
"112","WALKING",19,19,NA
"113","WALKING_DOWNSTAIRS",19,19,NA
"114","WALKING_UPSTAIRS",19,19,NA
"115","LAYING",20,20,NA
"116","SITTING",20,20,NA
"117","STANDING",20,20,NA
"118","WALKING",20,20,NA
"119","WALKING_DOWNSTAIRS",20,20,NA
"120","WALKING_UPSTAIRS",20,20,NA
"121","LAYING",21,21,NA
"122","SITTING",21,21,NA
"123","STANDING",21,21,NA
"124","WALKING",21,21,NA
"125","WALKING_DOWNSTAIRS",21,21,NA
"126","WALKING_UPSTAIRS",21,21,NA
"127","LAYING",22,22,NA
"128","SITTING",22,22,NA
"129","STANDING",22,22,NA
"130","WALKING",22,22,NA
"131","WALKING_DOWNSTAIRS",22,22,NA
"132","WALKING_UPSTAIRS",22,22,NA
"133","LAYING",23,23,NA
"134","SITTING",23,23,NA
"135","STANDING",23,23,NA
"136","WALKING",23,23,NA
"137","WALKING_DOWNSTAIRS",23,23,NA
"138","WALKING_UPSTAIRS",23,23,NA
"139","LAYING",24,24,NA
"140","SITTING",24,24,NA
"141","STANDING",24,24,NA
"142","WALKING",24,24,NA
"143","WALKING_DOWNSTAIRS",24,24,NA
"144","WALKING_UPSTAIRS",24,24,NA
"145","LAYING",25,25,NA
"146","SITTING",25,25,NA
"147","STANDING",25,25,NA
"148","WALKING",25,25,NA
"149","WALKING_DOWNSTAIRS",25,25,NA
"150","WALKING_UPSTAIRS",25,25,NA
"151","LAYING",26,26,NA
"152","SITTING",26,26,NA
"153","STANDING",26,26,NA
"154","WALKING",26,26,NA
"155","WALKING_DOWNSTAIRS",26,26,NA
"156","WALKING_UPSTAIRS",26,26,NA
"157","LAYING",27,27,NA
"158","SITTING",27,27,NA
"159","STANDING",27,27,NA
"160","WALKING",27,27,NA
"161","WALKING_DOWNSTAIRS",27,27,NA
"162","WALKING_UPSTAIRS",27,27,NA
"163","LAYING",28,28,NA
"164","SITTING",28,28,NA
"165","STANDING",28,28,NA
"166","WALKING",28,28,NA
"167","WALKING_DOWNSTAIRS",28,28,NA
"168","WALKING_UPSTAIRS",28,28,NA
"169","LAYING",29,29,NA
"170","SITTING",29,29,NA
"171","STANDING",29,29,NA
"172","WALKING",29,29,NA
"173","WALKING_DOWNSTAIRS",29,29,NA
"174","WALKING_UPSTAIRS",29,29,NA
"175","LAYING",30,30,NA
"176","SITTING",30,30,NA
"177","STANDING",30,30,NA
"178","WALKING",30,30,NA
"179","WALKING_DOWNSTAIRS",30,30,NA
"180","WALKING_UPSTAIRS",30,30,NA
